id;Communication_1;Communication_2;Communication_3;Compilation;LV2Allemand_2;LV2Allemand_1;Graphes_1;Marketing_1;LV2Espagnol_1;C++_1;LV2Espagnol_3;LV2Espagnol_2;TheorieDecision;TheorieDecision_1;TheorieDecision_2;Compilation_1;IA;CalculDistribue;Anglais_3;ProgrammationLineaire;ProgrammationLineaire_1;Anglais_2;Anglais_1;Java_1;Java;Java_2;C++;Architecture;Finance;IA_1;IA_2;CalculDistribue_2;CalculDistribue_1;IA_3;Graphes;GenieLogiciel_2;GenieLogiciel_1;Architecture_1
11;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
12;0;1;0;1;0;0;1;1;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1
13;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0
14;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
15;0;1;0;1;0;0;0;1;1;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
16;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;1;0;1;0
17;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
18;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
19;0;1;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0
20;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
21;0;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0
22;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
23;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1;0;1;0;0;1;0
24;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0
25;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
26;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
27;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
28;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
29;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0
30;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;1;1;0;1;1
31;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0
32;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;0;0;1;1
33;0;1;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0
34;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0
35;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0;1;1;0;0;1;1
36;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1;1
37;1;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0
38;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1
39;0;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0
40;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0
41;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;1;0;0;1;1
42;0;1;0;1;0;0;1;1;1;0;0;0;1;1;0;1;1;0;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0
43;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0
44;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1;0;1;0;1;0;0;0;0;1;1
45;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;1;0;1;0
46;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;0;1;1;0;1;0;0;0;0;1;0
47;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;1;0;0;0;0;1;0
48;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0
49;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;1;0
50;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;0
51;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0
52;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0
53;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;1;0;1
54;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0
55;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;1;1;0;1;0;0;0;1;0;1
56;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0
57;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0
58;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;0;0;1;0;1
59;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0
60;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0
61;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;1;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0
62;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;0
63;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0
64;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;1;0;1;1;1;0;0;1;0;0;1;0;1
65;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0
66;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;1;0;1;1;1;0;0;1;0;0;1;0;1
67;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;0;0;0;1;0;1
68;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0
69;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0
70;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0
71;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;0
72;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;0
73;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;0
74;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0
75;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;1
76;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0
77;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;0
78;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;0;1;1;0;0
79;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0
80;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0
81;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;0;0;1;0;0
82;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0
83;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;1;0;0
84;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0
85;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0
86;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0
87;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;1;0;1
88;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;1;0;0
89;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0
90;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;1;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0
91;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0
92;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;0;1;0;1;0;1;0;0;1;0;0
93;1;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;1;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0
